𝠃𝤐𝤎񅳁𝣼𝣿	¿a
𝠀񀀩񅟑񆉁񋗡𝠃𝤩𝤟񀀩𝣤𝤁񅟑𝣷𝣼񋗡𝤒𝤀񆉁𝣬𝣭	¿pick on
𝠀񀀱񀀹񉳁񉳙𝠃𝤢𝤣񀀱𝤏𝤅񀀹𝣯𝤅񉳁𝤋𝣪񉳙𝣫𝣪	¿happen
𝠀񀀱񀀹񉳁񉳙𝠃𝤢𝤣񀀱𝤏𝤅񀀹𝣯𝤅񉳁𝤋𝣪񉳙𝣫𝣪	¿Accidently
𝠀񀀱񀀹񉳁񉳙𝠃𝤢𝤣񀀱𝤏𝤅񀀹𝣯𝤅񉳁𝤋𝣪񉳙𝣫𝣪	¿all of a sudden
𝠀񀁁񀁉񆇡񆇡񆇡񈚡񈘁񆞁𝠃𝤜𝤳񀁁𝤆𝤇񀁉𝣿𝣴񆇡𝣰𝤅񈚡𝤌𝣙񈘁𝤂𝣧񆇡𝣱𝣲񆇡𝣲𝣠񆞁𝤇𝤮	¿regular
𝠀񀁁񆅩񋛕񆇡𝠃𝤓𝤧񀁁𝤄𝣶񆅩𝤀𝤘񋛕𝣻𝣦񆇡𝣹𝤋	¿1year
𝠀񀁁񆅩񋛕񆇡𝠃𝤓𝤧񀁁𝤄𝣶񆅩𝤀𝤘񋛕𝣻𝣦񆇡𝣹𝤋	¿one year
𝠀񀁁񆅩񋛕񆇡𝠃𝤓𝤧񀁁𝤄𝣶񆅩𝤀𝤘񋛕𝣻𝣦񆇡𝣹𝤋	¿one-year
𝠀񀁁񈗢񈗡񈗨񋁉𝠃𝤝𝤦񀁁𝣸𝤈񈗨𝤐𝣭񈗡𝤀𝣧񈗢𝣰𝣮񋁉𝣼𝣼	¿you all
𝠀񀁁񈗢񈗡񈗨񋁉𝠃𝤝𝤦񀁁𝣸𝤈񈗨𝤐𝣭񈗡𝤀𝣧񈗢𝣰𝣮񋁉𝣼𝣼	¿you right one
𝠀񀁁񈗢񈗡񈗨񋁉𝠃𝤝𝤦񀁁𝣸𝤈񈗨𝤐𝣭񈗡𝤀𝣧񈗢𝣰𝣮񋁉𝣼𝣼	¿they right
𝠀񀀩񈙘񀕡𝠃𝤦𝤡񀀩𝤁𝣫񀕡𝤗𝣫񈙘𝣦𝤋	¿one person meets two
𝠀񀀱񀀹񉳁񉳙񋸡񈘇񀀱񀀹񉳁񉳙񋸡𝠃𝥆𝤥񀀱𝣧𝤇񀀹𝣋𝤇񉳁𝣣𝣬񉳙𝣆𝣬񋸡𝣙𝣩񈘇𝣾𝤕񀀹𝤗𝤇񀀱𝤳𝤆񉳙𝤓𝣬񉳁𝤯𝣬񋸡𝤦𝣨	¿events
𝠀񀀱񀀹񉳁񉳙񋸡񈘇񀀱񀀹񉳁񉳙񋸡𝠃𝥆𝤥񀀱𝣧𝤇񀀹𝣋𝤇񉳁𝣣𝣬񉳙𝣆𝣬񋸡𝣙𝣩񈘇𝣾𝤕񀀹𝤗𝤇񀀱𝤳𝤆񉳙𝤓𝣬񉳁𝤯𝣬񋸡𝤦𝣨	¿happenings
𝠀񀁁񀁉񇕡񇕱񌱡𝠃𝤡𝥲񀁁𝤋𝥔񀁉𝣭𝥔񇕡𝤍𝤫񇕱𝣩𝤬񌱡𝣴𝣵	¿dedicate to god
𝠀񀁁񇀥𝠃𝤏𝤨񀁁𝣾𝣤񇀥𝣿𝤊	¿dropping
𝠀񀁁񈗨񈗡񈗢񋁁𝠃𝤝𝤦񀁁𝣼𝤈񈗨𝤐𝣭񈗡𝤀𝣧񈗢𝣰𝣮񋁁𝣸𝣽	¿you left one
𝠀񀁁񈗨񈗡񈗢񋁁𝠃𝤝𝤦񀁁𝣼𝤈񈗨𝤐𝣭񈗡𝤀𝣧񈗢𝣰𝣮񋁁𝣸𝣽	¿they left one
𝠀񀀪񀀤񉳍񆉁񋾡𝠃𝥆𝤘񆉁𝤚𝣹񀀪𝤨𝣝񉳍𝤪𝣷񋾡𝣴𝣵񀀤𝤎𝣩	¿government
𝠀񀀱񀀹񉳁񉳙񋸡񌄡񌏁𝠃𝤣𝥣񀀱𝤐𝥅񀀹𝣰𝥅񉳁𝤌𝤪񉳙𝣬𝤪񋸡𝣿𝤥񌄡𝣴𝣯񌏁𝣴𝣺	¿what is happening?
𝠀񀀱񀀹񉳁񉳙񋸡񌄡񌏁𝠃𝤣𝥣񀀱𝤐𝥅񀀹𝣰𝥅񉳁𝤌𝤪񉳙𝣬𝤪񋸡𝣿𝤥񌄡𝣴𝣯񌏁𝣴𝣺	¿what’s happening?
𝠀񀁁񀁉񈇅񈇕񈙁񈙑𝠃𝤬𝤵񀁁𝤐𝣺񀁉𝣥𝤗񈇅𝤌𝣘񈇕𝣡𝣱񈙑𝣰𝣲񈙁𝤜𝣡	¿cannons
𝠀񀁁񇎁񈚧񈗡𝠃𝤜𝤺񈗡𝣽𝣒񀁁𝣺𝣮񈚧𝣲𝤐񇎁𝣱𝤬	¿there3times
𝠀񀁁񇎁񈚧񈗡𝠃𝤜𝤺񈗡𝣽𝣒񀁁𝣺𝣮񈚧𝣲𝤐񇎁𝣱𝤬	¿there three times
𝠀񀀱񀀹񉳁񉳙񌄡񌏁𝠃𝤟𝥚񀀱𝤎𝤼񀀹𝣯𝤼񉳁𝤈𝤢񉳙𝣭𝤢񌏁𝣴𝣺񌄡𝣴𝣯	¿happened
𝠀񀀱񀀹񉳁񉳙񌄡񌏁𝠃𝤟𝥚񀀱𝤎𝤼񀀹𝣯𝤼񉳁𝤈𝤢񉳙𝣭𝤢񌏁𝣴𝣺񌄡𝣴𝣯	¿Plot
𝠀񀀱񀀹񉳁񉳙񌄡񌏁𝠃𝤟𝥚񀀱𝤎𝤼񀀹𝣯𝤼񉳁𝤈𝤢񉳙𝣭𝤢񌏁𝣴𝣺񌄡𝣴𝣯	¿happen
𝠀񀁁񀁉񈙡񆇡񆇡𝠃𝤓𝤩񆇡𝤄𝣼񀁉𝣺𝤋񆇡𝤄𝣯񈙡𝣹𝣣񀁁𝤄𝤄	¿regular
𝠀񀁁񀁉񈙡񆇡񆇡𝠃𝤓𝤩񆇡𝤄𝣼񀁉𝣺𝤋񆇡𝤄𝣯񈙡𝣹𝣣񀁁𝤄𝤄	¿regularity
𝠀񀁁񇿥𝠃𝤛𝤖񀁁𝣱𝣸񇿥𝤎𝣷	¿the
𝠀񀁁񊻁񋲡𝠃𝤓𝤫񀁁𝣻𝤍񊻁𝣹𝣬񋲡𝣿𝣢	¿insult
𝠀񀀰񀀨񋁑񋁉񌏁𝠃𝤺𝤹񌏁𝣴𝣵񀀰𝤊𝤛񀀨𝣱𝤛񋁉𝤝𝤝񋁑𝣖𝤞	¿however
𝠀񀀱񃨓񆕁񈗡񋲡񎔡𝠃𝤮𝥏񎔡𝣴𝣵񋲡𝤡𝥇񀀱𝣽𝤱񈗡𝤠𝤟񃨓𝤌𝤭񆕁𝤢𝤶	¿curse
𝠀񀀱񃨓񆕁񈗡񋲡񎔡𝠃𝤮𝥏񎔡𝣴𝣵񋲡𝤡𝥇񀀱𝣽𝤱񈗡𝤠𝤟񃨓𝤌𝤭񆕁𝤢𝤶	¿profanity
𝠀񀁁񀁉񋗡񋗹𝠃𝤰𝤤񀁁𝤘𝤆񀁉𝣩𝤆񋗡𝤙𝣩񋗹𝣝𝣩	¿propel
𝠀񀁁񀁉񋗡񋗹𝠃𝤰𝤤񀁁𝤘𝤆񀁉𝣩𝤆񋗡𝤙𝣩񋗹𝣝𝣩	¿propeller
𝠀񀁁񈗡𝠃𝤎𝤝񀁁𝣿𝣿񈗡𝣿𝣰	¿pronoun
𝠀񀁁񋁁𝠃𝤕𝤜񀁁𝤆𝣾񋁁𝣸𝣰	¿you all
𝠀񀁁񋁁𝠃𝤕𝤜񀁁𝤆𝣾񋁁𝣸𝣰	¿they left one
𝠀񀁁񋁁𝠃𝤕𝤜񀁁𝤆𝣾񋁁𝣸𝣰	¿you left one
𝠀񀁁񋁉𝠃𝤚𝤞񀁁𝣳𝤀񋁉𝣽𝣯	¿you all
𝠀񀁁񋁉𝠃𝤚𝤞񀁁𝣳𝤀񋁉𝣽𝣯	¿they right one
𝠀񀁁񋁉𝠃𝤚𝤞񀁁𝣳𝤀񋁉𝣽𝣯	¿you right one
𝠀񀁂񀀚񈗢𝠃𝤥𝤞񀀚𝣧𝣯񀁂𝤐𝤀񈗢𝣿𝣯	¿directly
𝠀񀁂񀁊񆉁𝠃𝤘𝤝񀁂𝤃𝣿񀁊𝣵𝣿񆉁𝣼𝣯	¿Greece
𝠀񀁂񀁋񆉁𝠃𝤢𝤜񀁂𝣽𝣰񀁋𝤄𝤍񆉁𝣫𝤊	¿proper
𝠀񀁂񂇺񀁂񂇸񆉁𝠃𝤢𝤲񂇺𝣫𝣜񆉁𝤅𝤧񀁂𝤍𝣚񂇸𝣯𝤖񀁂𝣯𝤍	¿Kathmandu
𝠀񀁁񋁉𝠃𝤡𝤝񀁁𝣫𝣿񋁉𝤄𝣰	¿pronoun plural
𝠀񀁂񀀚񈗢񋲡𝠃𝤪𝤥񀀚𝣣𝣨񀁂𝤕𝤇񈗢𝤃𝣾񋲡𝤀𝣳	¿expressly
𝠀񀁂񀁊񆕁񆿆𝠃𝤥𝤟񀁊𝣨𝣸񀁂𝤆𝤁񆕁𝣩𝣭񆿆𝤘𝣽	¿cut
𝠀񀁂񀁋񆉁𝠃𝤢𝤝񀁋𝤄𝤎񀁂𝤁𝣰񆉁𝣫𝤃	¿correct
𝠀񀁂񂈊񆕁񇌬𝠃𝤛𝤥񂈊𝣻𝣨񀁂𝤆𝣴񇌬𝣴𝤏񆕁𝣲𝣿	¿cancel
𝠀񀁁񍲁𝠃𝤘𝥁񀁁𝣰𝤣񍲁𝣴𝣵	¿look
𝠀񀁂񀀛񆕁񋗮𝠃𝤥𝤜񀀛𝣪𝤍񀁂𝣧𝣱񋗮𝤎𝣴񆕁𝣿𝣾	¿righteous
𝠀񀁂񀁊񇀥񆇡𝠃𝤕𝤭񀁊𝣽𝤏񀁂𝣻𝣶񆇡𝣸𝤒񇀥𝤅𝣠	¿right!
𝠀񀁂񀮊𝠃𝤞𝤛񀮊𝣮𝣱񀁂𝤉𝣽	¿thirdly
𝠀񀁂񀮊𝠃𝤞𝤛񀮊𝣮𝣱񀁂𝤉𝣽	¿third one
𝠀񀁂񀮊𝠃𝤞𝤛񀮊𝣮𝣱񀁂𝤉𝣽	¿third
𝠀񀁂񀮊𝠃𝤞𝤛񀮊𝣮𝣱񀁂𝤉𝣽	¿third-one
𝠀񀁂񂌚񆕁񈟄𝠃𝤠𝤢񂌚𝣽𝣪񀁂𝤋𝣳񈟄𝣭𝤍񆕁𝣼𝤆	¿sometimes
𝠀񀁂񀀋񆇡񄧢񆇡񈗡񋵡𝠃𝤜𝥃񀁂𝣻𝣊񀀋𝣾𝣨񆇡𝣱𝣠񄧢𝣹𝤝񆇡𝣶𝤸񈗡𝤀𝤋񋵡𝤁𝤄	¿righteous
𝠀񀁂񀀛񆕁񋗮񀉒񇆥񋾡𝠃𝤶𝤘񀀛𝣻𝢷񀁂𝣸𝢛񋗮𝤟𝢞񆕁𝤐𝢨񋾡𝣴𝣵񀉒𝤇𝣞񇆥𝣵𝣳	¿righteousness
𝠀񀁂񀁊񈙂񆙡񀁂񀁊𝠃𝤧𝤽񀁂𝤊𝣤񀁊𝣦𝣘񀁂𝣼𝤟񀁊𝣮𝤝񈙂𝤃𝣏񆙡𝤚𝣢	¿cross the roads
𝠀񀁂񀁊񈙂񆙡񀁂񀁊𝠃𝤧𝤽񀁂𝤊𝣤񀁊𝣦𝣘񀁂𝣼𝤟񀁊𝣮𝤝񈙂𝤃𝣏񆙡𝤚𝣢	¿cross roads
𝠀񀁂񂇸񆇡񆇡񆇡𝠃𝤖𝤤񂇸𝣻𝣷񀁂𝤁𝤆񆇡𝣶𝣸񆇡𝣾𝣱񆇡𝤉𝣩	¿discuss
𝠀񀁂񂌚񋁍񆕁񆕁𝠃𝤭𝤠񂌚𝣶𝣭񀁂𝤘𝤂񆕁𝣺𝤐񋁍𝣠𝤆񆕁𝤆𝤉	¿sometimes
𝠀񀁂񀀋񆇡񄧢񆇡񊒡񋵡𝠃𝤝𝥇񀁂𝣼𝣆񀀋𝣿𝣣񆇡𝣯𝣘񄧢𝣻𝤠񆇡𝣷𝤼񊒡𝣽𝤈񋵡𝤂𝤀	¿righteousness
𝠀񀁂񀀛񆕁񋗮񃃙񃃑𝠃𝤫𝤵񀀛𝣰𝣳񀁂𝣭𝣗񋗮𝤔𝣚񆕁𝤅𝣤񃃙𝣡𝤦񃃑𝣺𝤦	¿righteous
𝠀񀁂񀁊񈙂񈙈񆕁𝠃𝤵𝤫񀁂𝤍𝣵񀁊𝣲𝣫񆕁𝣵𝣢񈙂𝤟𝤕񈙈𝣗𝤌	¿crisis
𝠀񀁂񂌩񆇡񊝁񁲂񆲢񆲢𝠃𝤨𝤹񂌩𝣬𝤇񀁂𝤐𝤛񁲂𝣸𝣣񆲢𝣤𝣓񆇡𝤃𝤕񆲢𝣨𝣗񊝁𝤒𝣾	¿sometimes
𝠀񀁂񀀋񆇡񆿅񋵡𝠃𝤛𝤦񀀋𝣽𝤗񀁂𝣻𝣸񆇡𝣲𝤎񆿅𝤄𝣮񋵡𝤄𝣧	¿exactly!
𝠀񀁂񀀋񆇡񆿅񋵡𝠃𝤛𝤦񀀋𝣽𝤗񀁂𝣻𝣸񆇡𝣲𝤎񆿅𝤄𝣮񋵡𝤄𝣧	¿right!
𝠀񀁂񀀋񆇡񆿅񋵡𝠃𝤛𝤦񀀋𝣽𝤗񀁂𝣻𝣸񆇡𝣲𝤎񆿅𝤄𝣮񋵡𝤄𝣧	¿Right
𝠀񀁂񀀋񆇡񆿅񋵡𝠃𝤛𝤦񀀋𝣽𝤗񀁂𝣻𝣸񆇡𝣲𝤎񆿅𝤄𝣮񋵡𝤄𝣧	¿correct
𝠀񀁂񀀋񆇡񆿅񋵡𝠃𝤛𝤦񀀋𝣽𝤗񀁂𝣻𝣸񆇡𝣲𝤎񆿅𝤄𝣮񋵡𝤄𝣧	¿gotcha
𝠀񀁂񀀛񋗮񆕁𝠃𝤥𝤜񀀛𝣪𝤍񀁂𝣧𝣱񋗮𝤎𝣴񆕁𝣿𝣾	¿righteousness
𝠀񀁂񀁊񈟂񆕁񆕁𝠃𝤝𝤪񀁂𝤈𝤌񀁊𝣯𝤋񈟂𝣲𝣣񆕁𝣼𝣹񆕁𝤇𝣯	¿mixed culture
𝠀񀁂񂇸񆇡񆇡񆇡񈪁𝠃𝤛𝤰񂇸𝤀𝤂񆇡𝣴𝤅񆇡𝣾𝣼񆇡𝤊𝣳񀁂𝤆𝤒񈪁𝣱𝣜	¿negotiate
𝠀񀁂񃁻񈽃𝠃𝤝𝤡񃁻𝣰𝣶񀁂𝤃𝤃񈽃𝤄𝣫	¿sneak
𝠀񀁂񀀋񇞡񆇡񋵡𝠃𝤟𝤦񀀋𝣸𝤗񀁂𝣶𝣸񆇡𝣭𝤎񇞡𝤊𝣯񋵡𝤋𝣦	¿accurate
𝠀񀁂񀀋񇞡񆇡񋵡𝠃𝤟𝤦񀀋𝣸𝤗񀁂𝣶𝣸񆇡𝣭𝤎񇞡𝤊𝣯񋵡𝤋𝣦	¿right one
𝠀񀁂񀀋񇞡񆇡񋵡𝠃𝤟𝤦񀀋𝣸𝤗񀁂𝣶𝣸񆇡𝣭𝤎񇞡𝤊𝣯񋵡𝤋𝣦	¿exactly
𝠀񀁂񀀋񇞡񆇡񋵡𝠃𝤟𝤦񀀋𝣸𝤗񀁂𝣶𝣸񆇡𝣭𝤎񇞡𝤊𝣯񋵡𝤋𝣦	¿correct
𝠀񀁂񀀩񆇡񈗦񀊂𝠃𝤩𝤰񀀩𝣣𝣨񈗦𝤂𝤅񀁂𝣯𝣩񆇡𝣨𝣜񀊂𝤒𝤔	¿from
𝠀񀁂񀁊񋟭𝠃𝤖𝤣񀁂𝤁𝣩񀁊𝣷𝣩񋟭𝣾𝤊	¿rely
𝠀񀁂񂇸񆇡񆇡񆇡񈪁𝠃𝤝𝤯񂇸𝣾𝤄񀁂𝤇𝤑񆇡𝤅𝣴񆇡𝣻𝣾񆇡𝣰𝤉񈪁𝣶𝣞	¿discuss
𝠀񀁂񃇹񆕁񆿅𝠃𝤝𝤡񃇹𝣯𝣳񀁂𝤈𝣬񆕁𝣽𝤃񆿅𝣽𝤒	¿chop
𝠀񀁂񃇹񆕁񆿅𝠃𝤝𝤡񃇹𝣯𝣳񀁂𝤈𝣬񆕁𝣽𝤃񆿅𝣽𝤒	¿Chinese chop
𝠀񀁂񀀙񈗢𝠃𝤠𝤞񀀙𝣭𝤀񀁂𝤋𝤀񈗢𝣻𝣯	¿point
𝠀񀁂񀁋񆉁𝠃𝤡𝤜񀁂𝣿𝣰񀁋𝤃𝤍񆉁𝣬𝤇	¿appropriate
𝠀񀁂񂇸񈪁񆇡񆇡񆇡𝠃𝤟𝤯񂇸𝣽𝤃񀁂𝤅𝤑񆇡𝣮𝤃񆇡𝣷𝣻񆇡𝤀𝣳񈪁𝣸𝣞	¿debate
𝠀񀁂񆕁񂋺񈚢񁸙񁸑񈗡񈗱𝠃𝤯𝤾񂋺𝣱𝤑񀁂𝤕𝤠񈚢𝤄𝤂񆕁𝤇𝤝񁸑𝣞𝣬񁸙𝤖𝣧񈗡𝤟𝣏񈗱𝣡𝣒	¿massacre
𝠀񀁂񆿂𝠃𝤚𝤙񀁂𝤅𝣻񆿂𝣳𝣴	¿there
𝠀񀁂񈗢𝠃𝤜𝤜񀁂𝤇𝣾񈗢𝣰𝣰	¿look there left
𝠀񀁃񂇙񆕁񈨅𝠃𝤨𝤘񂇙𝣥𝣽񀁃𝣪𝣵񆕁𝣲𝤆񈨅𝤀𝤆	¿catalogue
𝠀񀁄񆇡񌂁񍞡񌞁𝠃𝤞𝥍񌞁𝣴𝣺񍞡𝣴𝣺񀁄𝤀𝤪񆇡𝣶𝥂񌂁𝣴𝣯	¿me
𝠀񀁅񆉁𝠃𝤓𝤝񀁅𝤄𝣰񆉁𝣹𝤒	¿me
𝠀񀁃񆕁񇆢񎱇𝠃𝤣𝤬񎱇𝣩𝣠񀁃𝤅𝤝񇆢𝣶𝣿񆕁𝤄𝤍	¿Lucy-Dlugolecka
𝠀񀁄񆇡񌏁𝠃𝤪𝥃񀁄𝤌𝤢񆇡𝤁𝤸񌏁𝣴𝣵	¿I
𝠀񀁅񆙡񇚅𝠃𝤢𝤞񀁅𝣫𝣮񆙡𝣻𝣿񇚅𝤋𝤃	¿China
𝠀񀁅񆙡񇚅𝠃𝤢𝤞񀁅𝣫𝣮񆙡𝣻𝣿񇚅𝤋𝤃	¿china
𝠀񀁂񈁂𝠃𝤠𝤝񀁂𝤋𝣿񈁂𝣬𝣰	¿up and out
𝠀񀁂񈁂𝠃𝤠𝤝񀁂𝤋𝣿񈁂𝣬𝣰	¿up out
𝠀񀁂񈗢񀀚𝠃𝤥𝤞񀀚𝣧𝣯񀁂𝤐𝤀񈗢𝣿𝣯	¿specific
𝠀񀁃񇑅񂣹񆇡񆇡𝠃𝤩𝤠񂣹𝣤𝣸񀁃𝣴𝣻񇑅𝤂𝤏񆇡𝣱𝣭񆇡𝣱𝤋	¿circuit
𝠀񀁄񆇡񌒁𝠃𝤪𝤽񀁄𝤌𝤜񆇡𝤀𝤲񌒁𝣴𝣵	¿me
𝠀񀁄񆇡񌒁𝠃𝤪𝤽񀁄𝤌𝤜񆇡𝤀𝤲񌒁𝣴𝣵	¿I
𝠀񀁅񆙡񇚅񋵡𝠃𝤥𝤢񀁅𝣨𝣫񆙡𝣼𝣼񇚅𝤎𝤀񋵡𝤗𝤝	¿Chinese
𝠀񀁂񈗢񈗡񈗨𝠃𝤞𝤣񀁂𝤁𝤅񈗡𝤀𝣪񈗨𝤑𝣮񈗢𝣮𝣰	¿them
𝠀񀁄񀁌񆙡񆙡񇚅񇚝񎣡𝠃𝤾𝤠񎣡𝣱𝣷񇚅𝤌𝤅񇚝𝣫𝤅񆙡𝣞𝤂񆙡𝤣𝤁񀁄𝤠𝣬񀁌𝣑𝣮	¿priest
𝠀񀁅񂈅񈙅𝠃𝤞𝤝񂈅𝣯𝤁񀁅𝣾𝣯񈙅𝤎𝣿	¿deep
𝠀񀁅񆙡񇛥𝠃𝤤𝤡񀁅𝣨𝣬񇛥𝤉𝣿񆙡𝣺𝣽	¿china
𝠀񀁂񋁉𝠃𝤖𝤡񀁂𝣷𝤃񋁉𝣹𝣬	¿these
𝠀񀁄񆇡𝠃𝤗𝤘񀁄𝣹𝣴񆇡𝣵𝤍	¿me
𝠀񀁄񆇡𝠃𝤗𝤘񀁄𝣹𝣴񆇡𝣵𝤍	¿I
𝠀񀁅񆇡𝠃𝤏𝤜񀁅𝤀𝣰񆇡𝣾𝤑	¿me
𝠀񀁅񆇡𝠃𝤏𝤜񀁅𝤀𝣰񆇡𝣾𝤑	¿I
𝠀񀁅񈗧񆙡񎣡𝠃𝤝𝤣񎣡𝣱𝣩񆙡𝣯𝤕񈗧𝤎𝣷񀁅𝣳𝣲	¿pronoun plural
𝠀񀁂񈗢𝠃𝤛𝤛񀁂𝤆𝣽񈗢𝣲𝣲	¿him
𝠀񀁂񈗢𝠃𝤛𝤛񀁂𝤆𝣽񈗢𝣲𝣲	¿Her
𝠀񀁂񈗢𝠃𝤛𝤛񀁂𝤆𝣽񈗢𝣲𝣲	¿She
𝠀񀁂񈗢𝠃𝤛𝤛񀁂𝤆𝣽񈗢𝣲𝣲	¿He
𝠀񀁂񈗢𝠃𝤛𝤛񀁂𝤆𝣽񈗢𝣲𝣲	¿it
𝠀񀁂񋁏𝠃𝤛𝤢񀁂𝤆𝤄񋁏𝣲𝣫	¿they all
𝠀񀁂񋁏𝠃𝤛𝤢񀁂𝤆𝤄񋁏𝣲𝣫	¿You direction to left
𝠀񀁂񋁏𝠃𝤛𝤢񀁂𝤆𝤄񋁏𝣲𝣫	¿you all
𝠀񀁈񀁐𝠃𝤮𝤑񀁈𝤐𝣼񀁐𝣞𝣼	¿point right to left
𝠀񀁂񍲁𝠃𝤘𝥁񀁂𝣰𝤣񍲁𝣴𝣵	¿look
𝠀񀁄񆇡񋁁񆇡𝠃𝤦𝤘񆇡𝤀𝤌񆇡𝣧𝤍񀁄𝤈𝣴񋁁𝣨𝣾	¿we
𝠀񀁈񆿈𝠃𝤕𝤘񀁈𝣷𝤃񆿈𝤇𝣴	¿there
𝠀񀁂񍲁񈙁񎣡𝠃𝤲𝤪񀁂𝤙𝤌񍲁𝣴𝣵񎣡𝣱𝤛񈙁𝤢𝣰	¿hindsight
𝠀񀁅񆇡񌏁񌄡𝠃𝤘𝥘񀁅𝤀𝤫񆇡𝣽𝥍񌏁𝣴𝣺񌄡𝣴𝣯	¿me
𝠀񀁅񆇡񌏁񌄡𝠃𝤘𝥘񀁅𝤀𝤫񆇡𝣽𝥍񌏁𝣴𝣺񌄡𝣴𝣯	¿I
𝠀񀁈񆿈𝠃𝤙𝤜񀁈𝣳𝤇񆿈𝤌𝣱	¿look there up
𝠀񀁈񆿈𝠃𝤛𝤞񀁈𝣱𝤉񆿈𝤎𝣯	¿he right one
𝠀񀁈񈗨𝠃𝤕𝤙񀁈𝣷𝤄񈗨𝤈𝣳	¿it
𝠀񀁉񀀔񈗡񆕁񋵡𝠃𝤥𝤝񈗡𝣧𝣰񆕁𝣧𝤅񋵡𝣧𝤕񀀔𝤇𝣰񀁉𝣼𝣿	¿specialist
𝠀񀁌񀁂񋟒𝠃𝤥𝤥񀁌𝣧𝣨񀁂𝤐𝤇񋟒𝤋𝣬	¿banter
𝠀񀁑񀁙񆙡񈢉񈢙񋸡𝠃𝤪𝤥񀁑𝤇𝤄񀁙𝣴𝤇񆙡𝣿𝣱񈢉𝤏𝣱񈢙𝣢𝣱񋸡𝣾𝣨	¿stockings
𝠀񀁈񆿈񀁍񆇡񎣡𝠃𝥊𝤴񀁍𝣽𝤆񀁈𝤫𝣩񆇡𝤅𝤩񆿈𝤽𝣙񎣡𝣱𝣼	¿Me god
𝠀񀁈񈗨𝠃𝤘𝤚񀁈𝣵𝤅񈗨𝤋𝣳	¿he
𝠀񀁉񀁁񈙁񈙑񋻥񈇅񈇕𝠃𝤩𝤲񋻥𝣽𝤬񀁁𝤖𝤄񀁉𝣤𝤍񈇅𝤎𝣭񈇕𝣩𝣸񈙁𝤙𝣚񈙑𝣴𝣦	¿cannons
𝠀񀁑񀀹񆙡񉳩𝠃𝤚𝤟񉳩𝤀𝣭񀀹𝣳𝣺񆙡𝤍𝤊񀁑𝣺𝤁	¿translate
𝠀񀁑񀁙񇋁񇋑𝠃𝤳𝤣񀁑𝤝𝤅񀁙𝣠𝤅񇋁𝤙𝣪񇋑𝣙𝣪	¿go
𝠀񀁈񇀥𝠃𝤘𝤟񀁈𝣵𝣭񇀥𝤈𝤁	¿you formal
𝠀񀁈񈗨𝠃𝤙𝤜񀁈𝣳𝤇񈗨𝤌𝣱	¿look there right one
𝠀񀁈񈗨𝠃𝤙𝤜񀁈𝣳𝤇񈗨𝤌𝣱	¿there right
𝠀񀁉񀁁񈝦񈝶𝠃𝤞𝤥񀁉𝤍𝤇񀁁𝣯𝤃񈝦𝤋𝣧񈝶𝣰𝣧	¿go backwards right
𝠀񀁑񀀹񆙡񉵉𝠃𝤚𝤥񉵉𝤀𝣧񀀹𝣳𝤀񆙡𝤍𝤐񀁑𝣺𝤇	¿translate
𝠀񀁑񀁙񇣃񇣛񋸥𝠃𝤝𝤩񇣃𝤇𝤇񇣛𝣯𝤇񀁑𝤇𝣣񀁙𝣴𝣣񋸥𝣿𝤣	¿pad
𝠀񀁑񀁙񇣃񇣛񋸥𝠃𝤝𝤩񇣃𝤇𝤇񇣛𝣯𝤇񀁑𝤇𝣣񀁙𝣴𝣣񋸥𝣿𝤣	¿Square
𝠀񀁑񀁙񇣃񇣛񋸥𝠃𝤝𝤩񇣃𝤇𝤇񇣛𝣯𝤇񀁑𝤇𝣣񀁙𝣴𝣣񋸥𝣿𝤣	¿notepad
𝠀񀁈񈁈𝠃𝤜𝤢񀁈𝣱𝤍񈁈𝤄𝣪	¿far
𝠀񀁈񈗨񋵡񋁁񀁂񈗢񋵡𝠃𝤻𝤝񀁈𝤚𝤈񀁂𝣣𝣾񋁁𝣼𝣿񈗨𝤫𝣸񈗢𝣒𝣺񋵡𝤰𝣯񋵡𝣓𝣲	¿point to two
𝠀񀁊񀐒񆕁񈙈𝠃𝤢𝤣񀁊𝣷𝤅񀐒𝤁𝣹񈙈𝣷𝣪񆕁𝣫𝤀	¿call
𝠀񀁑񀁑񇂆񇂄񂇁񋾡𝠃𝤨𝥚񋾡𝣴𝣵񀁑𝤙𝤗񀁑𝣦𝤗񇂆𝣺𝤹񂇁𝣿𝤶񇂄𝣰𝤹	¿annul
𝠀񀁑񀁙񇤣񇤻񆄲񆄴񇿤񇿶񆪁񆪁񁲒񁲚񋵡񋵡𝠃𝥒𝥇񀁑𝤉𝣇񀁙𝣭𝣆񇤣𝤒𝣭񇤻𝣚𝣭񁲒𝤋𝤤񁲚𝣤𝤥񇿤𝤬𝤎񇿶𝣉𝤔񆪁𝤣𝤣񆪁𝣜𝤧񆄲𝤽𝣾񆄴𝢺𝤀񋵡𝤍𝥂񋵡𝣰𝥁	¿microwave
𝠀񀁈񈅨𝠃𝤗𝤚񀁈𝣵𝤅񈅨𝤄𝣳	¿he down right
𝠀񀁈񈅨𝠃𝤗𝤚񀁈𝣵𝤅񈅨𝤄𝣳	¿he is down
